Title,Type,Timestamp,Account Currency,Total Amount in Account Currency,Buy / Sell,Ticker,ISIN,Price per Share in Account Currency,Stamp Duty,Quantity,Venue,Order ID,Order Type,Instrument Currency,Total Amount in Instrument Currency,Price per Share,FX Rate,Base FX Rate,FX Fee (BPS),FX Fee Amount,Dividend Ex Date,Dividend Pay Date,Dividend Eligible Quantity,Dividend Amount Per Share,Dividend Gross Distribution Amount,Dividend Net Distribution Amount,Dividend Withheld Tax Percentage,Dividend Withheld Tax Amount,Stock Split Ex Date,Stock Split Pay Date,Stock Split New ISIN,Stock Split Rate of Share Outturn From,Stock Split Rate of Share Outturn To,Stock Split Maintain Holding of Initial ISIN,Stock Split New Share Quantity,Stock Split Rate of Cash Outturn Amount,Stock Split Rate of Cash Outturn Currency,Stock Split Cash Outturn Received Amount,Stock Split Has Fractional Payout,Stock Split Rate of Fractional Payout Amount,Stock Split Rate of Fractional Payout Currency,Stock Split Fractional Payout Cash Received Amount,Stock Split Fractional Payout Cash Received Currency
Top up,TOP_UP,2025-12-25T09:48:12.336Z,GBP,5700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultra-Short Inc GBP Acc,ORDER,2025-12-18T08:34:05.557Z,GBP,948.88,BUY,JGSA,IE00BG47J908,118.61,0,8,London Stock Exchange,ER0O1ZVB40V4,BASIC,GBP,948.88,118.61,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Global Agg. Bond Acc,ORDER,2025-12-18T08:33:05.006Z,GBP,1030.64,BUY,VAGS,IE00BG47K971,25.766,0,40,London Stock Exchange,SECWN4HYO8MR,BASIC,GBP,1030.64,25.766,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Physical Gold GBP Acc,ORDER,2025-12-18T08:32:06.512Z,GBP,1939.56,BUY,IGLG,IE000Q2P3ZQ3,69.27,0,28,London Stock Exchange,V38RTMGHHSGP,BASIC,GBP,1939.56,69.27,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Top up,TOP_UP,2025-12-17T22:05:52.549Z,GBP,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTSE All-World Acc,ORDER,2025-12-09T08:34:06.921Z,GBP,4996.21,BUY,FWRG,IE000716YHJ7,6.22968828,0,802,London Stock Exchange,XM4Z3ICYBS4J,BASIC,GBP,4996.21,6.22968828,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Ultra-Short Inc GBP Acc,ORDER,2025-12-09T08:03:02.037Z,GBP,236.89,BUY,JGSA,IE00BG47J908,118.445,0,2,London Stock Exchange,U31J0YCYGLZB,MARKET,GBP,236.89,118.445,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Ultra-Short Inc GBP Acc,ORDER,2025-12-09T08:02:06.323Z,GBP,8883.61,BUY,JGSA,IE00BG47J908,118.4481333,0,75,London Stock Exchange,XQ4X5BDLZ59B,MARKET,GBP,8883.61,118.4481333,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Top up,TOP_UP,2025-12-09T07:55:10.286Z,GBP,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Gold GBP Acc,ORDER,2025-12-08T08:42:11.718Z,GBP,9971.93,BUY,IGLG,IE000Q2P3ZQ3,67.37790541,0,148,London Stock Exchange,O917WHYSKDJQ,BASIC,GBP,9971.93,67.37790541,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Global Agg. Bond Acc,ORDER,2025-12-08T08:40:11.655Z,GBP,14976.26,BUY,VAGS,IE00BG47K971,25.7324055,0,582,London Stock Exchange,L9JBWYW2K7R4,BASIC,GBP,14976.26,25.7324055,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Ultra-Short Inc GBP Acc,ORDER,2025-12-08T08:38:15.496Z,GBP,19893.32,BUY,JGSA,IE00BG47J908,118.4126191,0,168,London Stock Exchange,7WZVBVU0YKAS,BASIC,GBP,19893.32,118.4126191,,,0,,,,,,,,,,,,,,,,,,,,,,,,
FTSE All-World Acc,ORDER,2025-12-08T08:38:08.035Z,GBP,34896.93,BUY,FWRG,IE000716YHJ7,6.25505108,0,5579,London Stock Exchange,1KTL2HUKD9T3,BASIC,GBP,34896.93,6.25505108,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Top up,TOP_UP,2025-12-07T21:46:23.294Z,GBP,45000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top up,TOP_UP,2025-12-06T14:41:31.012Z,GBP,34900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTSE All-World Acc,ORDER,2025-12-05T08:30:17.208Z,GBP,99.89,BUY,FWRG,IE000716YHJ7,6.243125,0,16,London Stock Exchange,5JAIONYAFQ9G,BASIC,GBP,99.89,6.243125,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Top up,TOP_UP,2025-12-04T20:17:52.685Z,GBP,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
